Request url : http://127.0.0.1:8000/model/classify | Status -> 200 | duration : 1.1869ms | time: Friday September 26, 2025 at 12:25:43 AM
Request url : http://127.0.0.1:8000/model/classify | Status -> 200 | duration : 0.1442ms | time: Friday September 26, 2025 at 12:25:59 AM
Request url : http://127.0.0.1:8000/model/classify | Status -> 200 | duration : 0.1855ms | time: Friday September 26, 2025 at 12:26:10 AM
Request url : http://127.0.0.1:8000/model/classify | Status -> 200 | duration : 0.2135ms | time: Friday September 26, 2025 at 12:27:09 AM
Request url : http://127.0.0.1:8000/model/classify | Status -> 200 | duration : 0.2129ms | time: Friday September 26, 2025 at 12:27:33 AM
Request url : http://127.0.0.1:8000/model/classify | Status -> 200 | duration : 0.2581ms | time: Friday September 26, 2025 at 12:28:05 AM
Request url : http://127.0.0.1:8000/model/classify | Status -> 200 | duration : 0.4317ms | time: Friday September 26, 2025 at 12:29:59 AM
Request url : http://127.0.0.1:8000/model/classify | Status -> 500 | duration : 0.6897ms | time: Friday September 26, 2025 at 12:33:32 AM
Request url : http://127.0.0.1:8000/model/classify | Status -> 200 | duration : 0.4237ms | time: Friday September 26, 2025 at 12:36:01 AM
Request url : http://localhost:8000/docs | Status -> 200 | duration : 0.0004ms | time: Friday September 26, 2025 at 07:46:35 AM
Request url : http://localhost:8000/openapi.json | Status -> 200 | duration : 0.0154ms | time: Friday September 26, 2025 at 07:46:37 AM
Request url : http://localhost:8000/model/classify | Status -> 200 | duration : 1.6018ms | time: Friday September 26, 2025 at 07:47:02 AM
Request url : http://localhost:8000/model/classify | Status -> 200 | duration : 0.1234ms | time: Friday September 26, 2025 at 07:47:18 AM
Request url : http://localhost:8000/model/classify | Status -> 200 | duration : 0.1334ms | time: Friday September 26, 2025 at 07:47:30 AM
Request url : http://localhost:8000/model/classify | Status -> 200 | duration : 0.1575ms | time: Friday September 26, 2025 at 07:49:11 AM
Request url : http://localhost:8000/model/classify | Status -> 200 | duration : 0.1578ms | time: Friday September 26, 2025 at 07:49:18 AM
Request url : http://localhost:8000/model/classify | Status -> 200 | duration : 0.1625ms | time: Friday September 26, 2025 at 07:49:42 AM
Request url : http://localhost:8000/docs | Status -> 200 | duration : 0.0009ms | time: Friday September 26, 2025 at 09:26:03 AM
Request url : http://localhost:8000/openapi.json | Status -> 200 | duration : 0.0278ms | time: Friday September 26, 2025 at 09:26:04 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 1.2838ms | time: Friday September 26, 2025 at 09:29:37 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.1994ms | time: Friday September 26, 2025 at 09:29:49 AM
Request url : http://localhost:8000/model/imbd/classify | Status -> 200 | duration : 0.1229ms | time: Friday September 26, 2025 at 09:29:52 AM
